produto,estado,semana,preco_modelo,preco_baseline,mae_modelo_estado,mae_baseline_estado
GASOLINA,MT,2026-08-03/2026-08-09,6.799796003512914,6.79,0.0339286543105073,0.029375
GASOLINA,MT,2026-08-10/2026-08-16,6.805440826277381,6.79,0.0339286543105073,0.029375
GASOLINA,MT,2026-08-17/2026-08-23,6.811388323754284,6.79,0.0339286543105073,0.029375
GASOLINA,MT,2026-08-24/2026-08-30,6.817335821231187,6.79,0.0339286543105073,0.029375
GASOLINA,PA,2026-08-03/2026-08-09,6.857766482264765,6.85,0.0670952020055743,0.0606249999999998
GASOLINA,PA,2026-08-10/2026-08-16,6.865816122657077,6.85,0.0670952020055743,0.0606249999999998
GASOLINA,PA,2026-08-17/2026-08-23,6.8733465874867195,6.85,0.0670952020055743,0.0606249999999998
GASOLINA,PA,2026-08-24/2026-08-30,6.879673062857793,6.85,0.0670952020055743,0.0606249999999998
GASOLINA,PB,2026-08-03/2026-08-09,6.495200524262722,6.49,0.0434165662187581,0.0327083333333333
GASOLINA,PB,2026-08-10/2026-08-16,6.497598856902417,6.49,0.0434165662187581,0.0327083333333333
GASOLINA,PB,2026-08-17/2026-08-23,6.499268048825905,6.49,0.0434165662187581,0.0327083333333333
GASOLINA,PB,2026-08-24/2026-08-30,6.500937240749393,6.49,0.0434165662187581,0.0327083333333333
GASOLINA,PE,2026-08-03/2026-08-09,6.893663299477914,6.89,0.1010645255299406,0.0895833333333333
GASOLINA,PE,2026-08-10/2026-08-16,6.898800372394836,6.89,0.1010645255299406,0.0895833333333333
GASOLINA,PE,2026-08-17/2026-08-23,6.902137734880094,6.89,0.1010645255299406,0.0895833333333333
GASOLINA,PE,2026-08-24/2026-08-30,6.905385723659891,6.89,0.1010645255299406,0.0895833333333333
GASOLINA,PI,2026-08-03/2026-08-09,6.892414035037137,6.89,0.0510881121958684,0.0445833333333334
GASOLINA,PI,2026-08-10/2026-08-16,6.897459629837156,6.89,0.0510881121958684,0.0445833333333334
GASOLINA,PI,2026-08-17/2026-08-23,6.900500901990003,6.89,0.0510881121958684,0.0445833333333334
GASOLINA,PI,2026-08-24/2026-08-30,6.903626484678025,6.89,0.0510881121958684,0.0445833333333334
GASOLINA,PR,2026-08-03/2026-08-09,6.698975123947957,6.69,0.0454825182526919,0.0356249999999999
GASOLINA,PR,2026-08-10/2026-08-16,6.707950247895913,6.69,0.0454825182526919,0.0356249999999999
GASOLINA,PR,2026-08-17/2026-08-23,6.715717885767773,6.69,0.0454825182526919,0.0356249999999999
GASOLINA,PR,2026-08-24/2026-08-30,6.721182091748684,6.69,0.0454825182526919,0.0356249999999999
GASOLINA,RJ,2026-08-03/2026-08-09,6.700722165891072,6.69,0.0756526708460102,0.068125
GASOLINA,RJ,2026-08-10/2026-08-16,6.710372859728518,6.69,0.0756526708460102,0.068125
GASOLINA,RJ,2026-08-17/2026-08-23,6.720082587087185,6.69,0.0756526708460102,0.068125
GASOLINA,RJ,2026-08-24/2026-08-30,6.726138468301864,6.69,0.0756526708460102,0.068125
GASOLINA,RN,2026-08-03/2026-08-09,6.900211738444238,6.89,0.1207282425197522,0.10875
GASOLINA,RN,2026-08-10/2026-08-16,6.905686208835571,6.89,0.1207282425197522,0.10875
GASOLINA,RN,2026-08-17/2026-08-23,6.90946243810433,6.89,0.1207282425197522,0.10875
GASOLINA,RN,2026-08-24/2026-08-30,6.913075105191097,6.89,0.1207282425197522,0.10875
GASOLINA,RO,2026-08-03/2026-08-09,7.3773969858833475,7.37,0.0595164972076636,0.0458333333333333
GASOLINA,RO,2026-08-10/2026-08-16,7.384793971766695,7.37,0.0595164972076636,0.0458333333333333
GASOLINA,RO,2026-08-17/2026-08-23,7.392190957650042,7.37,0.0595164972076636,0.0458333333333333
GASOLINA,RO,2026-08-24/2026-08-30,7.398732199989378,7.37,0.0595164972076636,0.0458333333333333
GASOLINA,RR,2026-08-03/2026-08-09,7.566674824839181,7.57,0.0613187186747332,0.0370833333333333
GASOLINA,RR,2026-08-10/2026-08-16,7.566360005723427,7.57,0.0613187186747332,0.0370833333333333
GASOLINA,RR,2026-08-17/2026-08-23,7.568997671036263,7.57,0.0613187186747332,0.0370833333333333
GASOLINA,RR,2026-08-24/2026-08-30,7.57149810129021,7.57,0.0613187186747332,0.0370833333333333
GASOLINA,RS,2026-08-03/2026-08-09,6.294539334382532,6.29,0.048218634097232,0.0360416666666666
GASOLINA,RS,2026-08-10/2026-08-16,6.299019190860159,6.29,0.048218634097232,0.0360416666666666
GASOLINA,RS,2026-08-17/2026-08-23,6.303572636152709,6.29,0.048218634097232,0.0360416666666666
GASOLINA,RS,2026-08-24/2026-08-30,6.307251048685002,6.29,0.048218634097232,0.0360416666666666
GASOLINA,SC,2026-08-03/2026-08-09,6.552621691029972,6.55,0.0431415095615437,0.0352083333333332
GASOLINA,SC,2026-08-10/2026-08-16,6.552737368448042,6.55,0.0431415095615437,0.0352083333333332
GASOLINA,SC,2026-08-17/2026-08-23,6.552581871941049,6.55,0.0431415095615437,0.0352083333333332
GASOLINA,SC,2026-08-24/2026-08-30,6.5553958978388165,6.55,0.0431415095615437,0.0352083333333332
GASOLINA,SE,2026-08-03/2026-08-09,7.121741586250643,7.12,0.0641539233558798,0.0504166666666665
GASOLINA,SE,2026-08-10/2026-08-16,7.122844100768535,7.12,0.0641539233558798,0.0504166666666665
GASOLINA,SE,2026-08-17/2026-08-23,7.123716184828247,7.12,0.0641539233558798,0.0504166666666665
GASOLINA,SE,2026-08-24/2026-08-30,7.124588268887959,7.12,0.0641539233558798,0.0504166666666665
GASOLINA,SP,2026-08-03/2026-08-09,6.3941076467540245,6.39,0.03120204604664,0.0208333333333333
GASOLINA,SP,2026-08-10/2026-08-16,6.397661347785233,6.39,0.03120204604664,0.0208333333333333
GASOLINA,SP,2026-08-17/2026-08-23,6.401199812310118,6.39,0.03120204604664,0.0208333333333333
GASOLINA,SP,2026-08-24/2026-08-30,6.403369857078742,6.39,0.03120204604664,0.0208333333333333
GASOLINA,TO,2026-08-03/2026-08-09,7.060577596176389,7.0600000000000005,0.066413699857613,0.0581249999999999
GASOLINA,TO,2026-08-10/2026-08-16,7.061792090072564,7.0600000000000005,0.066413699857613,0.0581249999999999
GASOLINA,TO,2026-08-17/2026-08-23,7.063841565974771,7.0600000000000005,0.066413699857613,0.0581249999999999
GASOLINA,TO,2026-08-24/2026-08-30,7.066827182214512,7.0600000000000005,0.066413699857613,0.0581249999999999
ETANOL,AC,2026-08-03/2026-08-09,5.056723232447703,5.135,0.1901534802567842,0.1834374999999999
ETANOL,AC,2026-08-10/2026-08-16,4.9874939234431395,5.135,0.1901534802567842,0.1834374999999999
ETANOL,AC,2026-08-17/2026-08-23,4.916235989033735,5.135,0.1901534802567842,0.1834374999999999
